name,categ,X,Y,Z,color
Недостаточность анального сфинктера,Болезни толстого кишечника,13.700041,7.661087,1.8055626,#8DD644
Недостаточность клапана легочной артерии,Болезни сердца и сосудов,-2.7399542,8.141097,-16.892178,#267F8E
Незавершенный поворот кишечника,Детские болезни,13.467475,5.997531,3.5807998,#64CB5D
Нейроакантоцитоз,Нервные болезни,-3.1436896,-2.293361,-8.477807,#440154
Нейробластома,Онкологические болезни,-2.9562469,7.9617505,3.598196,#482374
Нейробруцеллез,Нервные болезни,-1.4026586,-5.2673125,-5.2326493,#440154
Нейрогенный кератит,Глазные болезни,-4.6376357,-10.993621,3.8961432,#E7E419
Нейрогенный мочевой пузырь,Урологические болезни,8.703404,8.765847,-2.739573,#29AF7F
Нейрогенный мочевой пузырь у детей,Детские болезни,8.687263,8.769517,-2.754121,#64CB5D
Нейродермит,Аллергические болезни,0.87867606,-7.023283,12.474981,#53C567
Нейролейкоз,Нервные болезни,-5.779675,4.7477703,-4.0481515,#440154
Нейролептический синдром,Психические расстройства,-2.4602616,-4.016932,-13.60697,#BADE27
Нейропатический парез гортани,"Болезни уха, горла, носа",-9.184374,-2.3882177,-7.126677,#208F8C
Нейроревматизм,Нервные болезни,-1.8662813,-4.282318,-4.6839104,#440154
Нейросенсорная тугоухость,"Болезни уха, горла, носа",-7.187898,-6.572318,-9.858146,#208F8C
Нейросифилис,Венерические болезни,-1.7627139,-6.178765,-5.568474,#3D4C89
НейроСПИД,Иммунные болезни,-0.041857373,-4.4797826,-6.4126964,#443982
Нейротоксикоз у детей,Детские болезни,7.096391,-0.87505734,-10.239453,#64CB5D
Нейрофиброматоз Реклингхаузена,Кожные болезни,-3.1168764,3.1635084,-3.1491122,#42BE71
Нейроциркуляторная дистония,Болезни сердца и сосудов,-1.731152,-0.44066697,-13.557774,#267F8E
Нейроэндокринные опухоли,Онкологические болезни,-1.9286106,11.952212,3.460876,#482374
Некариозные поражения зубов ,Болезни зубов,-13.067279,2.383792,11.938729,#FDE724
Некрасивый пупок,Эстетические проблемы,-9.39546,-7.130633,14.474354,#23888D
Некроз миоматозного узла,Женские болезни,4.109581,14.290901,1.5225503,#48196B
Некроз печени,Болезни органов пищеварения,11.322426,0.63410795,-6.61005,#404387
Некроз пульпы ,Болезни зубов,-10.425133,4.091433,13.6116495,#FDE724
Некроз твердых тканей зуба,Болезни зубов,-12.116512,2.4064853,11.958827,#FDE724
Некротический энтероколит новорожденных,Детские болезни,12.096738,-1.5382496,1.8572924,#64CB5D
Нелактационный мастит,Болезни молочных желез,3.4826102,2.140545,7.7354984,#462F7C
Немалиновая миопатия,Наследственные болезни,1.4905052,-0.011458056,-6.020958,#38568B
Неоваскуляризация роговицы,Глазные болезни,-6.496857,-9.750338,-0.035872765,#E7E419
Неонатальные судороги,Детские болезни,-0.45965123,-3.998171,-10.548401,#64CB5D
Неонатальный абстинентный синдром,Детские болезни,-1.535402,-4.6256585,-14.071367,#64CB5D
Неонатальный сахарный диабет,Детские болезни,9.658319,4.1310816,-10.973275,#64CB5D
Неполный аборт,Женские болезни,8.69184,13.905373,-1.9552592,#48196B
Неправильный прикус,Болезни зубов,-14.694142,-0.3267101,11.411274,#FDE724
