name,categ,X,Y,Z,color
Острый средний отит,"Болезни уха, горла, носа",-2.934322,-2.6504536,6.33303,#208F8C
Острый стеноз гортани,"Болезни уха, горла, носа",1.4064133,-2.5196915,1.2751411,#208F8C
Острый стоматит,Болезни зубов,-7.33846,-0.85577977,11.860357,#FDE724
Острый трахеобронхит,Болезни органов дыхания,5.3919477,-9.815185,3.3720315,#1E988A
Острый холангит,Болезни органов пищеварения,11.985144,2.9585078,-2.5882392,#404387
Острый холецистит,Болезни органов пищеварения,12.901953,3.8894486,-1.880311,#404387
Острый цистит,Урологические болезни,11.15697,3.308124,10.092908,#29AF7F
Острый эзофагит,Болезни органов пищеварения,16.501947,1.2291781,3.9164128,#404387
Острый энтерит,Болезни органов пищеварения,13.19809,-2.0667691,0.8020745,#404387
Острый энтероколит,Болезни органов пищеварения,15.411743,-2.1829088,1.1311315,#404387
Осумкованный плеврит,Болезни органов дыхания,7.0146246,-1.9079493,0.43771845,#1E988A
Отек головного мозга,Нервные болезни,-5.6431174,3.0646899,-7.931262,#440154
Отек гортани,"Болезни уха, горла, носа",0.9018291,-2.4698794,3.2774744,#208F8C
Отек Квинке,Аллергические болезни,5.356604,-0.68680215,-4.7485557,#53C567
Отек Квинке у детей,Аллергические болезни,5.296935,-0.5902584,-4.2655168,#53C567
