name,categ,X,Y,color
Общий артериальный ствол,Болезни сердца и сосудов,7.331434,-6.445543,#23888D
Овуляторный синдром,Женские болезни,-8.001388,11.242138,#29AF7F
Огнестрельная рана,Болезни ОДС и травмы,-8.532248,-13.664064,#2D6F8E
Одонтогенный гайморит,"Болезни уха, горла, носа",-9.908138,-0.49952912,#1E9F88
Одонтома,Болезни зубов,-15.666403,3.6298735,#22A784
Ожирение,Эндокринные болезни,-8.204399,7.573015,#53C567
Ожирение у детей,Детские болезни,-0.6099933,-3.185143,#443982
Ожог носа,"Болезни уха, горла, носа",-7.9371233,-2.3679576,#1E9F88
Ожог пищевода,Болезни органов пищеварения,3.6354258,5.3983326,#345E8D
Ожог ротовой полости ,Болезни зубов,-19.25899,2.9959707,#22A784
Ожоги,Болезни ОДС и травмы,-8.540697,-13.686722,#2D6F8E
Ожоги глаз,Глазные болезни,-14.82283,-1.4008873,#79D151
Ожоги глотки,"Болезни уха, горла, носа",-7.205189,-0.87975025,#1E9F88
Ожоги у детей,Детские болезни,5.701931,-9.285571,#443982
Ожоговая болезнь,Болезни ОДС и травмы,-9.701254,-15.016991,#2D6F8E
Озена,"Болезни уха, горла, носа",-8.338696,-2.4773734,#1E9F88
Окклюзионная гидроцефалия,Нервные болезни,0.34405637,-10.847562,#267F8E
Окклюзия подключичной артерии,Болезни сердца и сосудов,6.6034603,-7.7089686,#23888D
Окклюзия сонных артерий,Нервные болезни,-1.5753644,-11.656028,#267F8E
Окклюзия центральной артерии сетчатки,Глазные болезни,-14.011378,-1.0764673,#79D151
Окклюзия центральной вены сетчатки,Глазные болезни,-15.044736,-1.7872813,#79D151
Оксалоз,Наследственные болезни,-3.3072245,-7.6166844,#29788E
Окулофарингеальная мышечная дистрофия ,Наследственные болезни,-4.585637,-8.040086,#29788E
Окулоцереброкутанный синдром,Глазные болезни,-13.668715,-1.5531533,#79D151
Олеогранулема полового члена,Мужские болезни,-11.228308,3.6237147,#35B778
Оливопонтоцеребеллярные дегенерации,Наследственные болезни,-3.8289146,-8.043822,#29788E
Олигоменорея. Редкие месячные,Женские болезни,-8.608387,9.102392,#29AF7F
Олигофрения,Психические расстройства,-0.37062502,-15.510614,#48196B
Оментит,Болезни органов пищеварения,3.980031,5.898146,#345E8D
Омская геморрагическая лихорадка,Инфекционные болезни,0.3709494,1.5340698,#42BE71
Омфалит,Детские болезни,-1.3630743,-1.8202721,#443982
Омфалоцеле,Детские болезни,1.7812238,-4.6763787,#443982
Онейроид,Психические расстройства,-2.0414321,-17.721619,#48196B
Онихогрифоз,Кожные болезни,-14.833725,-10.402589,#FDE724
Ониходистрофия,Кожные болезни,-13.95895,-7.375736,#FDE724
Онихолизис,Кожные болезни,-13.620184,-7.972972,#FDE724
Онихомикоз,Кожные болезни,-13.3267765,-7.0580516,#FDE724
Онихофагия,Психические расстройства,-1.6309974,-17.673244,#48196B
ОНР 1 уровня,Нарушения речи,5.190428,-13.27294,#BADE27
ОНР 2 уровня,Нарушения речи,5.260649,-12.287745,#BADE27
Онхоцеркоз,Инфекционные болезни,-6.266927,-0.3341,#42BE71
Оофорит. Воспаление яичников,Женские болезни,-10.212455,10.635664,#29AF7F
Опийная наркомания,Наркологические проблемы,-8.637509,-23.02941,#64CB5D
Описторхоз,Инфекционные болезни,0.4116013,0.3389751,#42BE71
Опрелости у ребенка,Детские болезни,-2.6328218,-4.4124236,#443982
Опсоменорея,Женские болезни,-8.580245,9.604877,#29AF7F
Оптико-хиазмальный арахноидит,Глазные болезни,-7.1259346,-7.107192,#79D151
Оптикомиелит,Нервные болезни,-1.776046,-10.890508,#267F8E
Опухоли бронхов,Онкологические болезни,-5.0238156,2.7083123,#404387
Опухоли брюшины,Онкологические болезни,-7.1270757,3.8222902,#404387
Опухоли век,Глазные болезни,-18.15859,-1.29299,#79D151
Опухоли гипофиза,Онкологические болезни,-8.062682,3.583565,#404387
Опухоли головного мозга,Нервные болезни,0.16272594,-11.680504,#267F8E
Опухоли желудка,Онкологические болезни,-6.914572,2.7410016,#404387
Опухоли конъюнктивы,Глазные болезни,-15.14829,-1.2621975,#79D151
Опухоли костей,Онкологические болезни,-5.795103,4.0064316,#404387
Опухоли мозжечка,Нервные болезни,-0.13976763,-12.222755,#267F8E
Опухоли мочеточника,Урологические болезни,-12.376228,6.5882254,#E7E419
Опухоли мошонки,Мужские болезни,-9.713716,4.806877,#35B778
Опухоли надпочечников,Онкологические болезни,-6.416722,2.689319,#404387
Опухоли паращитовидных желез,Онкологические болезни,-7.946043,2.7427952,#404387
Опухоли периферических нервов,Нервные болезни,0.4388793,-10.769415,#267F8E
Опухоли печени,Онкологические болезни,-7.2744913,3.164149,#404387
Опухоли пищевода,Онкологические болезни,-6.9261065,2.6564214,#404387
Опухоли поджелудочной железы,Онкологические болезни,-6.943784,2.559322,#404387
Опухоли потовых желез,Кожные болезни,-13.122891,-7.426137,#FDE724
Опухоли прямой кишки,Онкологические болезни,-8.115379,3.1678576,#404387
Опухоли сальных желез,Кожные болезни,-12.767523,-6.369499,#FDE724
Опухоли сердца,Онкологические болезни,-7.4830947,3.6437,#404387
Опухоли сигмовидной кишки,Онкологические болезни,-8.112628,3.4250839,#404387
Опухоли слезных желез,Глазные болезни,-13.403413,0.06252099,#79D151
Опухоли слюнных желёз,Онкологические болезни,-7.1931453,2.8479407,#404387
Опухоли спинного мозга,Нервные болезни,-0.76151145,-11.039365,#267F8E
Опухоли средостения,Онкологические болезни,-7.7560253,3.6947114,#404387
Опухоли ствола мозга,Нервные болезни,-1.2074353,-12.878057,#267F8E
Опухоли толстого кишечника,Онкологические болезни,-6.835211,2.9117377,#404387
Опухоли тонкого кишечника,Онкологические болезни,-6.6606517,2.6204064,#404387
Опухоли уха,Онкологические болезни,-7.500803,3.2580087,#404387
Опухоли хориоидеи,Глазные болезни,-14.494143,-2.3404076,#79D151
Опухоли ЦНС,Нервные болезни,-0.98188376,-10.589572,#267F8E
Опухоли челюстей,Онкологические болезни,-9.899191,4.254383,#404387
Опухоль Вильмса,Детские болезни,-1.8963101,0.70967525,#443982
Опухоль эпифиза,Нервные болезни,-0.31267858,-10.597859,#267F8E
Опущение бровей,Эстетические проблемы,-20.183779,-9.821009,#A5DA35
Опущение верхнего века,Глазные болезни,-15.053492,-1.325628,#79D151
Опущение матки,Женские болезни,-7.3269496,9.974354,#29AF7F
"Опущенный, приподнятый кончик носа",Эстетические проблемы,-19.534405,-8.815667,#A5DA35
ОРВИ у детей,Детские болезни,-0.22011541,-4.494927,#443982
Органическая деменция у детей,Детские болезни,-1.0221329,-4.834591,#443982
Органический галлюциноз,Психические расстройства,-1.321049,-16.596338,#48196B
Органическое бредовое шизофреноподобное расстройство,Психические расстройства,-1.289746,-16.45031,#48196B
Органическое расстройство настроения,Психические расстройства,-1.8990653,-17.397999,#48196B
Органическое тревожное расстройство,Психические расстройства,-2.41933,-17.646143,#48196B
Орнитоз,Инфекционные болезни,1.8071401,0.7032939,#42BE71
Орхит,Мужские болезни,-11.409413,1.7776392,#35B778
Оскольчатый перелом,Болезни ОДС и травмы,-8.735877,-13.792404,#2D6F8E
Осложнения беременности,Женские болезни,-9.494658,9.856989,#29AF7F
Осложнения родов,Женские болезни,-8.647216,10.730402,#29AF7F
Осмидроз,Кожные болезни,-13.58061,-6.786507,#FDE724
Остеодистрофии,Болезни ОДС и травмы,-9.48713,-13.355398,#2D6F8E
Остеома,Онкологические болезни,-6.4657197,3.6097953,#404387
Остеомаляция,Болезни ОДС и травмы,-9.22205,-14.134442,#2D6F8E
Остеомиелит,Болезни ОДС и травмы,-6.731885,-15.931724,#2D6F8E
Остеомиелит челюсти,Болезни зубов,-19.684952,3.1769626,#22A784
Остеопороз,Болезни ОДС и травмы,-8.391758,-12.769418,#2D6F8E
Остеосаркома,Онкологические болезни,-9.193932,2.355701,#404387
Остеосклероз,Болезни ОДС и травмы,-8.741155,-13.903931,#2D6F8E
Остеохондроз позвоночника,Нервные болезни,-0.21605514,-9.874745,#267F8E
Остеохондрома,Онкологические болезни,-6.9577947,4.2862096,#404387
Остеохондропатии,Болезни ОДС и травмы,-10.071581,-14.484567,#2D6F8E
Остиофолликулит,Кожные болезни,-13.718203,-8.82217,#FDE724
Острая алкогольная интоксикация,Наркологические проблемы,-7.509576,-20.787569,#64CB5D
Острая диарея,Болезни толстого кишечника,2.3008368,6.8824573,#D2E11B
Острая дыхательная недостаточность,Болезни органов дыхания,6.4532948,-2.3275757,#208F8C
Острая задержка мочеиспускания,Урологические болезни,-3.3731904,8.075171,#E7E419
Острая зубная боль,Болезни зубов,-12.790408,5.954258,#22A784
Острая кровопотеря,Болезни ОДС и травмы,-9.9074545,-15.060501,#2D6F8E
Острая окклюзия мезентериальных сосудов,Болезни органов пищеварения,4.057813,5.7690954,#345E8D
Острая окклюзия сосудов конечностей,Болезни сердца и сосудов,7.1038504,-7.380539,#23888D
Острая печеночная недостаточность,Болезни органов пищеварения,4.4125547,4.2609444,#345E8D
Острая пневмония,Болезни органов дыхания,5.3660545,-0.24421494,#208F8C
Острая почечная недостаточность,Урологические болезни,-3.2836394,8.562872,#E7E419
Острое расширение желудка,Болезни органов пищеварения,3.498432,4.9410415,#345E8D
Острые аллергические реакции,Аллергические болезни,-5.8128424,-5.1585817,#3D4C89
Острые респираторные вирусные инфекции (ОРВИ),Инфекционные болезни,1.0569748,-0.12341999,#42BE71
Острый аппендицит,Болезни органов пищеварения,3.9748871,5.1503572,#345E8D
Острый бактериальный конъюнктивит,Глазные болезни,-19.310162,-0.6306126,#79D151
Острый бронхиолит,Болезни органов дыхания,6.1887884,-2.0463684,#208F8C
Острый бронхит,Болезни органов дыхания,5.6302385,-1.0227026,#208F8C
Острый вагинит,Женские болезни,-6.768707,9.153783,#29AF7F
Острый вирусный гепатит,Болезни органов пищеварения,3.244348,3.4597607,#345E8D
Острый гастрит,Болезни органов пищеварения,4.2742205,4.656193,#345E8D
Острый гастродуоденит,Болезни органов пищеварения,4.6797857,4.6143885,#345E8D
Острый гастроэнтерит,Болезни органов пищеварения,3.3714294,4.062678,#345E8D
Острый гепатит,Болезни органов пищеварения,6.574087,5.3915896,#345E8D
Острый гингивит,Болезни зубов,-19.181498,3.3261402,#22A784
Острый гломерулонефрит ,Урологические болезни,-3.0132182,9.068407,#E7E419
Острый дуоденит,Болезни органов пищеварения,4.3739195,4.2469435,#345E8D
Острый живот,Болезни органов пищеварения,4.191958,4.8047733,#345E8D
Острый калькулезный холецистит,Болезни органов пищеварения,4.189251,5.224734,#345E8D
Острый колит,Болезни толстого кишечника,1.1620408,8.996571,#D2E11B
Острый лейкоз,Онкологические болезни,-7.328824,4.259101,#404387
Острый лимфобластный лейкоз,Онкологические болезни,-5.29027,3.2269185,#404387
Острый лихеноидный парапсориаз,Кожные болезни,-14.242935,-9.00301,#FDE724
Острый миелоидный лейкоз,Онкологические болезни,-5.1728497,4.77446,#404387
Острый обструктивный бронхит,Болезни органов дыхания,5.902466,-2.8288767,#208F8C
Острый остеомиелит,Болезни ОДС и травмы,-8.19467,-13.419051,#2D6F8E
Острый панкреатит,Болезни органов пищеварения,3.6883998,4.614653,#345E8D
