name,categ,X,Y,Z,color
Внутрипротоковая папиллома молочной железы,Онкологические болезни,-0.54518485,-10.364948,-5.048343,#D2E11B
Внутрисуставной перелом,Болезни ОДС и травмы,-6.4204445,-5.7331038,0.6745315,#443982
Внутриутробная пневмония,Детские болезни,2.0221732,-6.5344176,5.180336,#64CB5D
Внутриутробные инфекции,Детские болезни,5.7628264,-8.036726,2.5417612,#64CB5D
Внутричерепная гипертензия,Нервные болезни,-1.7234125,-1.4114293,6.1892676,#BADE27
Внутричерепная родовая травма,Детские болезни,0.9709213,-5.9282665,3.5535877,#64CB5D
Водяная мозоль,Кожные болезни,7.733742,-9.186035,4.4906664,#30678D
Водянка беременных,Женские болезни,5.4404993,-12.865936,-5.168272,#460C5F
Водянка желчного пузыря,Болезни органов пищеварения,3.0590937,-15.220054,-0.5562054,#267F8E
Водянка плода,Детские болезни,3.937363,-8.901251,1.5361984,#64CB5D
Водянка яичка (гидроцеле),Мужские болезни,8.1226425,-16.380457,-3.7865703,#42BE71
Водянка яичка у мальчика,Детские болезни,0.5115249,-6.05886,4.294573,#64CB5D
Возбудимая психопатия,Психические расстройства,-3.5449715,-6.0095444,6.187105,#29AF7F
Возвратный тиф,Инфекционные болезни,4.9330015,-10.396793,4.6935735,#440154
Волосатая лейкоплакия,Иммунные болезни,3.551885,-7.0378866,3.9114597,#1E988A
Волосатый полип глотки,"Болезни уха, горла, носа",0.765126,-5.278514,-0.041666083,#FDE724
Волчья пасть,Эстетические проблемы,7.0267634,-4.362729,2.264008,#35B778
Воронкообразная грудная клетка,Болезни ОДС и травмы,-6.1913567,-6.5280724,-1.3229144,#443982
Ворсинчатая опухоль толстой кишки,Онкологические болезни,-2.5795853,-15.117328,-5.0449543,#D2E11B
Воспаление придатков,Женские болезни,5.2909665,-13.693795,-5.3847246,#460C5F
Воспаление соска,Болезни молочных желез,3.599758,-8.4614315,-3.553119,#E7E419
Воспалительная миопатия,Нервные болезни,-0.9074284,-1.1226101,5.9183245,#BADE27
Воспалительная полиневропатия,Нервные болезни,-1.411124,-1.4383398,6.199318,#BADE27
Врожденная аплазия кожи,Детские болезни,0.8215687,-6.4242687,4.7119937,#64CB5D
Врожденная генерализованная липодистрофия,Наследственные болезни,2.7236345,-1.1658188,10.952487,#404387
Врожденная герпетическая инфекция,Детские болезни,1.6787491,-6.512805,3.868658,#64CB5D
Врожденная гиперплазия надпочечников,Детские болезни,0.89374804,-5.782466,4.041489,#64CB5D
Врожденная глаукома,Глазные болезни,5.892864,-2.413052,4.8086376,#462F7C
Врожденная ихтиозиформная эритродермия Брока,Кожные болезни,8.894903,-7.1338825,5.811928,#30678D
Врожденная катаракта,Детские болезни,3.166447,-4.782522,3.1023276,#64CB5D
Врожденная косорукость,Болезни ОДС и травмы,-6.676387,-6.144184,-0.6427756,#443982
